inventory_key,rental_rate,film_id
1,0.99,1
2,0.99,1
3,0.99,1
4,0.99,1
5,0.99,1
6,0.99,1
7,0.99,1
8,0.99,1
9,4.99,2
10,4.99,2
11,4.99,2
12,2.99,3
13,2.99,3
14,2.99,3
15,2.99,3
16,2.99,4
17,2.99,4
18,2.99,4
19,2.99,4
20,2.99,4
21,2.99,4
22,2.99,4
23,2.99,5
24,2.99,5
25,2.99,5
26,2.99,6
27,2.99,6
28,2.99,6
29,2.99,6
30,2.99,6
31,2.99,6
32,4.99,7
33,4.99,7
34,4.99,7
35,4.99,7
36,4.99,7
37,4.99,8
38,4.99,8
39,4.99,8
40,4.99,8
41,2.99,9
42,2.99,9
43,2.99,9
44,2.99,9
45,2.99,9
46,4.99,10
47,4.99,10
48,4.99,10
49,4.99,10
50,4.99,10
51,4.99,10
52,4.99,10
53,0.99,11
54,0.99,11
55,0.99,11
56,0.99,11
57,0.99,11
58,0.99,11
59,0.99,11
60,0.99,12
61,0.99,12
62,0.99,12
63,0.99,12
64,0.99,12
65,0.99,12
66,0.99,12
67,4.99,13
68,4.99,13
69,4.99,13
70,4.99,13
71,2.99,15
72,2.99,15
73,2.99,15
74,2.99,15
75,2.99,15
76,2.99,15
77,2.99,16
78,2.99,16
79,2.99,16
80,2.99,16
81,0.99,17
82,0.99,17
83,0.99,17
84,0.99,17
85,0.99,17
86,0.99,17
87,0.99,18
88,0.99,18
89,0.99,18
90,0.99,18
91,0.99,18
92,0.99,18
93,0.99,19
94,0.99,19
95,0.99,19
96,0.99,19
97,0.99,19
98,0.99,19
99,4.99,20
100,4.99,20
101,4.99,20
102,4.99,21
103,4.99,21
104,4.99,21
105,4.99,21
106,4.99,21
107,4.99,21
108,2.99,22
109,2.99,22
110,2.99,22
111,2.99,22
112,2.99,22
113,2.99,22
114,2.99,22
115,0.99,23
116,0.99,23
117,0.99,23
118,0.99,23
119,0.99,23
120,2.99,24
121,2.99,24
122,2.99,24
123,2.99,24
124,2.99,25
125,2.99,25
126,2.99,25
127,2.99,25
128,2.99,25
129,2.99,25
130,0.99,26
131,0.99,26
132,0.99,26
133,0.99,26
134,0.99,26
135,0.99,27
136,0.99,27
137,0.99,27
138,0.99,27
139,4.99,28
140,4.99,28
141,4.99,28
142,2.99,29
143,2.99,29
144,2.99,30
145,2.99,30
146,4.99,31
147,4.99,31
148,4.99,31
149,4.99,31
150,4.99,31
151,4.99,31
152,4.99,31
153,4.99,31
154,4.99,32
155,4.99,32
156,0.99,34
157,0.99,34
158,0.99,34
159,0.99,34
160,2.99,35
161,2.99,35
162,2.99,35
163,2.99,35
164,2.99,35
165,2.99,35
166,2.99,35
167,2.99,37
168,2.99,37
169,2.99,37
170,2.99,37
171,2.99,37
172,2.99,37
173,2.99,37
174,0.99,39
175,0.99,39
176,0.99,39
177,0.99,39
178,0.99,39
179,0.99,39
180,0.99,39
181,0.99,40
182,0.99,40
183,0.99,40
184,0.99,40
185,2.99,42
186,2.99,42
187,2.99,42
188,2.99,42
189,2.99,43
190,2.99,43
191,2.99,43
192,2.99,43
193,2.99,43
194,2.99,43
195,2.99,43
196,4.99,44
197,4.99,44
198,4.99,44
199,4.99,44
200,4.99,44
201,4.99,45
202,4.99,45
203,4.99,45
204,4.99,45
205,4.99,45
206,4.99,45
207,4.99,46
208,4.99,46
209,4.99,46
210,4.99,47
211,4.99,47
212,4.99,48
213,4.99,48
214,4.99,48
215,4.99,48
216,2.99,49
217,2.99,49
218,2.99,49
219,2.99,49
220,2.99,49
221,2.99,49
222,2.99,50
223,2.99,50
224,2.99,50
225,2.99,50
226,2.99,50
227,2.99,51
228,2.99,51
229,2.99,51
230,2.99,51
231,2.99,51
232,2.99,51
233,0.99,52
234,0.99,52
235,2.99,53
236,2.99,53
237,0.99,54
238,0.99,54
239,0.99,54
240,0.99,54
241,0.99,54
242,2.99,55
243,2.99,55
244,2.99,55
245,2.99,55
246,2.99,55
247,2.99,55
248,2.99,56
249,2.99,56
250,2.99,56
251,2.99,56
252,2.99,56
253,2.99,57
254,2.99,57
255,2.99,57
256,2.99,57
257,2.99,57
258,2.99,57
259,2.99,57
260,2.99,58
261,2.99,58
262,2.99,58
263,2.99,58
264,2.99,59
265,2.99,59
266,2.99,59
267,2.99,59
268,2.99,59
269,4.99,60
270,4.99,60
271,4.99,60
272,4.99,61
273,4.99,61
274,4.99,61
275,4.99,61
276,4.99,61
277,4.99,61
278,2.99,62
279,2.99,62
280,0.99,63
281,0.99,63
282,0.99,63
283,0.99,63
284,0.99,64
285,0.99,64
286,0.99,64
287,4.99,65
288,4.99,65
289,4.99,65
290,4.99,65
291,0.99,66
292,0.99,66
293,0.99,66
294,2.99,67
295,2.99,67
296,2.99,67
297,2.99,67
298,2.99,67
299,2.99,67
300,4.99,68
301,4.99,68
302,4.99,68
303,4.99,68
304,2.99,69
305,2.99,69
306,2.99,69
307,2.99,69
308,2.99,69
309,2.99,69
310,2.99,69
311,2.99,69
312,4.99,70
313,4.99,70
314,4.99,70
315,4.99,70
316,4.99,71
317,4.99,71
318,4.99,71
319,4.99,71
320,2.99,72
321,2.99,72
322,2.99,72
323,2.99,72
324,2.99,72
325,2.99,72
326,2.99,73
327,2.99,73
328,2.99,73
329,2.99,73
330,2.99,73
331,2.99,73
332,2.99,73
333,2.99,73
334,4.99,74
335,4.99,74
336,4.99,74
337,4.99,74
338,4.99,74
339,4.99,75
340,4.99,75
341,4.99,75
342,0.99,76
343,0.99,76
344,0.99,76
345,4.99,77
346,4.99,77
347,4.99,77
348,4.99,77
349,4.99,77
350,4.99,77
351,2.99,78
352,2.99,78
353,2.99,78
354,2.99,78
355,2.99,78
356,2.99,78
357,2.99,78
358,0.99,79
